county    metstandard    percentms 
Walla Walla  0             54.2       
Walla Walla  0             56.5       
Walla Walla  0             50.0       
Walla Walla  0             56.5       
Whatcom      0             28.6       
Whatcom      1             70.7       
Whatcom      1             68.4       
Whatcom      1             76.6       
Whatcom      1             75.3       
Whatcom      1             65.7       
Whatcom      1             60.0       
Whatcom      1             46.4       
Whatcom      0             52.6       
Whatcom      1             61.5       
Whitman      1             45.5       
Whitman      1             55.6       
Whitman      1             68.9       
Whitman      1             82.6       
Whitman      1             72.7       
Whitman      1             81.3       
Whitman      0             90.0       
Whitman      1             58.3       
Whitman      1             85.7       
Yakima       0             44.8       
Yakima       0             54.1       
Yakima       0             52.2       
Yakima       0             55.6       
Yakima       0             68.3       
Yakima       0             90.0       
Yakima       0             50.0       
Yakima       0             50.0       
Yakima       0             50.0       
Yakima       0             71.4       
Yakima       0             48.6       
Yakima       0             55.6       
Yakima       0             53.7       
Yakima       0             59.1       
Yakima       0             40.9       
Yakima       0             65.9       
Yakima       0             36.6       
Yakima       0             25.0       
Yakima       1             57.1       
Yakima       0             26.9       
Clark        1             73.3       
Grays Harbor 0             35.7       
Lewis        0            100.0       
Clark        1             71.4       
Grant        0             53.3       
Spokane      0             75.0       
Kitsap       1             71.4       
King         0             68.8       
Snohomish    0             54.5       
King         1             77.4       
Snohomish    1             41.7       
Grant        0             60.0       
Spokane      0             84.6       
Spokane      0            100.0       
King         1             56.1       
Pierce       0             59.2       
